row col x_error y_error
15 6 0.4635552168 -0.3178397417
15 7 0.4601330757 0.1464360952
15 8 0.4995611906 -0.0624477863
15 9 0.0078451633 -0.2731142044
15 10 0.3414695263 -0.2769975662
15 11 0.1591786146 0.7520341873
15 12 0.2494812012 0.0582311153
15 13 0.2747356892 0.3431916237
15 14 0.4737262726 0.8188583851
15 15 0.0000000000 0.0000000000
